p_ent,width,depth,n_fail,n_rounds,p_failed_round,n_fail_run0,n_rounds_run0,n_fail_run1,n_rounds_run1,nodes,elapsed_s
0.001,2,2,177,10000,0.0177,87,5023,90,4977,18,0.23
0.001,2,3,288,10000,0.0288,145,5003,143,4997,26,0.337
0.001,2,4,372,10000,0.0372,189,5041,183,4959,34,0.44
0.001,2,5,469,10000,0.0469,247,4989,222,5011,42,0.55
0.001,2,6,536,10000,0.0536,257,4982,279,5018,50,0.652
0.001,2,7,680,10000,0.068,341,5002,339,4998,58,0.763
0.001,2,8,735,10000,0.0735,363,4982,372,5018,66,0.867
0.001,2,9,862,10000,0.0862,481,5051,381,4949,74,0.981
0.001,2,10,949,10000,0.0949,481,4992,468,5008,82,1.088
0.001,3,2,297,10000,0.0297,137,4950,160,5050,27,0.346
0.001,3,3,429,10000,0.0429,225,5049,204,4951,39,0.507
0.001,3,4,533,10000,0.0533,275,5023,258,4977,51,0.671
0.001,3,5,694,10000,0.0694,353,4955,341,5045,63,0.83
0.001,3,6,832,10000,0.0832,454,5065,378,4935,75,1.031
0.001,3,7,909,10000,0.0909,419,4935,490,5065,87,1.168
0.001,3,8,1098,10000,0.1098,546,5044,552,4956,99,1.324
0.001,3,9,1248,10000,0.1248,614,5023,634,4977,111,1.496
0.001,3,10,1382,10000,0.1382,678,4991,704,5009,123,1.706
0.001,4,2,392,10000,0.0392,185,4972,207,5028,36,0.465
0.001,4,3,591,10000,0.0591,336,5007,255,4993,52,0.688
0.001,4,4,799,10000,0.0799,424,5033,375,4967,68,0.91
0.001,4,5,945,10000,0.0945,468,5040,477,4960,84,1.129
0.001,4,6,1088,10000,0.1088,541,5017,547,4983,100,1.345
0.001,4,7,1259,10000,0.1259,662,5021,597,4979,116,1.578
0.001,4,8,1443,10000,0.1443,699,4985,744,5015,132,1.802
0.001,4,9,1638,10000,0.1638,818,5037,820,4963,148,2.046
0.001,4,10,1870,10000,0.187,917,4951,953,5049,164,2.269
0.001,5,2,451,10000,0.0451,218,5002,233,4998,45,0.582
0.001,5,3,725,10000,0.0725,368,5059,357,4941,65,0.861
0.001,5,4,978,10000,0.0978,502,5045,476,4955,85,1.138
0.001,5,5,1160,10000,0.116,582,5052,578,4948,105,1.42
0.001,5,6,1407,10000,0.1407,738,5026,669,4974,125,1.701
0.001,5,7,1638,10000,0.1638,834,5155,804,4845,145,2.042
0.001,5,8,1807,10000,0.1807,919,4959,888,5041,165,2.294
0.001,5,9,2073,10000,0.2073,1019,5081,1054,4919,185,2.571
0.001,5,10,2160,10000,0.216,1052,4923,1108,5077,205,2.885
0.001,6,2,581,10000,0.0581,284,4918,297,5082,54,0.703
0.001,6,3,829,10000,0.0829,396,4971,433,5029,78,1.04
0.001,6,4,1180,10000,0.118,585,4963,595,5037,102,1.376
0.001,6,5,1399,10000,0.1399,696,5019,703,4981,126,1.719
0.001,6,6,1615,10000,0.1615,819,4921,796,5079,150,2.063
0.001,6,7,1908,10000,0.1908,927,4947,981,5053,174,2.42
0.001,6,8,2159,10000,0.2159,1049,4859,1110,5141,198,2.771
0.001,6,9,2443,10000,0.2443,1237,4996,1206,5004,222,3.163
0.001,6,10,2549,10000,0.2549,1274,4970,1275,5030,246,3.516
0.001,7,2,696,10000,0.0696,356,5065,340,4935,63,0.821
0.001,7,3,1006,10000,0.1006,519,4966,487,5034,91,1.213
0.001,7,4,1302,10000,0.1302,668,4969,634,5031,119,1.613
0.001,7,5,1627,10000,0.1627,831,5029,796,4971,147,2.113
0.001,7,6,1896,10000,0.1896,925,5011,971,4989,175,2.435
0.001,7,7,2198,10000,0.2198,1105,5067,1093,4933,203,2.9
0.001,7,8,2468,10000,0.2468,1258,5016,1210,4984,231,3.332
0.001,7,9,2653,10000,0.2653,1298,4973,1355,5027,259,3.79
0.001,7,10,3005,10000,0.3005,1502,5036,1503,4964,287,4.249
0.001,8,2,765,10000,0.0765,381,5074,384,4926,72,0.945
0.001,8,3,1160,10000,0.116,596,5047,564,4953,104,1.397
0.001,8,4,1569,10000,0.1569,769,4966,800,5034,136,1.88
0.001,8,5,1835,10000,0.1835,935,4937,900,5063,168,2.339
0.001,8,6,2204,10000,0.2204,1080,4988,1124,5012,200,2.803
0.001,8,7,2560,10000,0.256,1270,5029,1290,4971,232,3.303
0.001,8,8,2714,10000,0.2714,1365,5042,1349,4958,264,3.879
0.001,8,9,3131,10000,0.3131,1591,4983,1540,5017,296,4.454
0.001,8,10,3368,10000,0.3368,1678,4974,1690,5026,328,5.012
0.001,9,2,868,10000,0.0868,435,4946,433,5054,81,1.068
