p_ent,width,depth,n_fail,n_rounds,p_failed_round,n_fail_run0,n_rounds_run0,n_fail_run1,n_rounds_run1,nodes,elapsed_s
0.001,4,6,253,2000,0.1265,121,1023,132,977,100,2.273
0.001,5,5,220,2000,0.11,112,1020,108,980,105,2.56
0.001,5,6,260,2000,0.13,138,1007,122,993,125,3.052
0.001,6,5,292,2000,0.146,152,1014,140,986,126,3.262
0.001,6,6,329,2000,0.1645,151,977,178,1023,150,3.743
0.001,3,6,173,2000,0.0865,91,968,82,1032,75,1.736
0.001,4,5,184,2000,0.092,86,984,98,1016,84,1.951
0.001,4,4,160,2000,0.08,86,1043,74,957,68,1.482
0.001,6,3,169,2000,0.0845,87,998,82,1002,78,1.807
0.001,5,4,188,2000,0.094,89,989,99,1011,85,1.969
0.001,3,5,141,2000,0.0705,66,969,75,1031,63,1.394
0.001,2,6,100,2000,0.05,56,980,44,1020,50,1.176
0.001,5,3,137,2000,0.0685,77,1033,60,967,65,1.459
0.001,6,4,216,2000,0.108,94,967,122,1033,102,2.392
0.001,6,2,102,2000,0.051,56,987,46,1013,54,1.205
0.001,2,5,98,2000,0.049,53,999,45,1001,42,0.884
0.001,3,3,69,2000,0.0345,31,1015,38,985,39,0.963
0.001,5,2,97,2000,0.0485,49,1039,48,961,45,0.994
0.001,4,3,103,2000,0.0515,57,981,46,1019,52,1.274
0.001,2,4,75,2000,0.0375,38,991,37,1009,34,0.759
0.001,3,4,92,2000,0.046,42,1027,50,973,51,1.138
0.001,4,2,64,2000,0.032,33,981,31,1019,36,0.848
0.001,1,6,36,2000,0.018,16,1037,20,963,25,0.575
0.001,3,2,56,2000,0.028,19,963,37,1037,27,0.559
0.001,2,3,62,2000,0.031,26,1047,36,953,26,0.606
0.001,1,5,32,2000,0.016,16,1030,16,970,21,0.425
0.001,5,1,43,2000,0.0215,23,978,20,1022,25,0.483
0.001,6,1,40,2000,0.02,18,1000,22,1000,30,0.648
0.001,1,3,23,2000,0.0115,15,991,8,1009,13,0.313
0.001,1,2,13,2000,0.0065,6,991,7,1009,9,0.176
0.001,3,1,27,2000,0.0135,15,1064,12,936,15,0.359
0.001,1,4,30,2000,0.015,15,1011,15,989,17,0.371
0.001,2,2,44,2000,0.022,21,1003,23,997,18,0.401
0.001,2,1,18,2000,0.009,9,978,9,1022,10,0.212
0.001,4,1,33,2000,0.0165,15,1005,18,995,20,0.453
0.001,1,1,6,2000,0.003,4,1003,2,997,5,0.081
0.001,8,10,652,2000,0.326,318,957,334,1043,328,8.737
0.001,9,9,663,2000,0.3315,344,1030,319,970,333,8.895
0.001,9,10,743,2000,0.3715,371,1015,372,985,369,9.923
0.001,10,9,784,2000,0.392,387,1003,397,997,370,9.84
0.001,10,10,799,2000,0.3995,405,1042,394,958,410,11.452
0.001,7,10,594,2000,0.297,293,990,301,1010,287,6.551
0.001,8,9,624,2000,0.312,307,981,317,1019,296,7.021
0.001,8,8,558,2000,0.279,290,1019,268,981,264,7.096
0.001,9,8,652,2000,0.326,317,957,335,1043,297,7.552
0.001,10,7,617,2000,0.3085,301,998,316,1002,290,7.542
0.001,10,8,664,2000,0.332,323,987,341,1013,330,9.197
0.001,7,9,555,2000,0.2775,273,1012,282,988,259,6.612
0.001,9,7,548,2000,0.274,264,988,284,1012,261,6.745
0.001,10,6,510,2000,0.255,257,988,253,1012,250,6.392
0.001,6,10,572,2000,0.286,273,981,299,1019,246,6.29
0.001,7,8,475,2000,0.2375,241,1009,234,991,231,6.089
0.001,8,7,500,2000,0.25,245,996,255,1004,232,6.117
0.001,6,9,483,2000,0.2415,234,998,249,1002,222,5.679
0.001,7,7,434,2000,0.217,205,1032,229,968,203,5.504
0.001,9,6,478,2000,0.239,247,1022,231,978,225,5.947
0.001,6,8,432,2000,0.216,215,993,217,1007,198,4.817
0.001,8,6,427,2000,0.2135,216,1010,211,990,200,4.409
0.001,6,7,389,2000,0.1945,195,994,194,1006,174,3.21
0.001,7,6,374,2000,0.187,180,972,194,1028,175,3.196
